Year,Month,Day,Hour,Year,Month,Day,Hour,availability
2010,1,1,0,2010.0,1.0,1.0,0.0,0.721114583333
2010,1,1,1,2010.0,1.0,1.0,1.0,0.720489583333
2010,1,1,2,2010.0,1.0,1.0,2.0,0.866364583333
2010,1,1,3,2010.0,1.0,1.0,3.0,0.977458333333
2010,1,1,4,2010.0,1.0,1.0,4.0,0.910354166667
2010,1,1,5,2010.0,1.0,1.0,5.0,0.756875
2010,1,1,6,2010.0,1.0,1.0,6.0,0.925114583333
2010,1,1,7,2010.0,1.0,1.0,7.0,0.949052083333
2010,1,1,8,2010.0,1.0,1.0,8.0,0.925895833333
2010,1,1,9,2010.0,1.0,1.0,9.0,0.910739583333
2010,1,1,10,2010.0,1.0,1.0,10.0,0.90778125
2010,1,1,11,2010.0,1.0,1.0,11.0,0.9119375
2010,1,1,12,2010.0,1.0,1.0,12.0,0.925364583333
2010,1,1,13,2010.0,1.0,1.0,13.0,0.923458333333
2010,1,1,14,2010.0,1.0,1.0,14.0,0.92059375
2010,1,1,15,2010.0,1.0,1.0,15.0,0.8550625
2010,1,1,16,2010.0,1.0,1.0,16.0,0.73653125
2010,1,1,17,2010.0,1.0,1.0,17.0,0.7599375
2010,1,1,18,2010.0,1.0,1.0,18.0,0.84775
2010,1,1,19,2010.0,1.0,1.0,19.0,0.976916666667
2010,1,1,20,2010.0,1.0,1.0,20.0,0.993833333333
2010,1,1,21,2010.0,1.0,1.0,21.0,0.962833333333
2010,1,1,22,2010.0,1.0,1.0,22.0,0.939135416667
2010,1,1,23,2010.0,1.0,1.0,23.0,0.952958333333
2010,1,2,0,2010.0,1.0,2.0,0.0,0.944989583333
2010,1,2,1,2010.0,1.0,2.0,1.0,0.947677083333
2010,1,2,2,2010.0,1.0,2.0,2.0,0.943520833333
2010,1,2,3,2010.0,1.0,2.0,3.0,0.906416666667
2010,1,2,4,2010.0,1.0,2.0,4.0,0.8696875
2010,1,2,5,2010.0,1.0,2.0,5.0,0.867166666667
2010,1,2,6,2010.0,1.0,2.0,6.0,0.82090625
2010,1,2,7,2010.0,1.0,2.0,7.0,0.7371875
2010,1,2,8,2010.0,1.0,2.0,8.0,0.475333333333
2010,1,2,9,2010.0,1.0,2.0,9.0,0.349385416667
2010,1,2,10,2010.0,1.0,2.0,10.0,0.35575
2010,1,2,11,2010.0,1.0,2.0,11.0,0.453302083333
2010,1,2,12,2010.0,1.0,2.0,12.0,0.5763125
2010,1,2,13,2010.0,1.0,2.0,13.0,0.46953125
2010,1,2,14,2010.0,1.0,2.0,14.0,0.367666666667
2010,1,2,15,2010.0,1.0,2.0,15.0,0.394802083333
2010,1,2,16,2010.0,1.0,2.0,16.0,0.405197916667
2010,1,2,17,2010.0,1.0,2.0,17.0,0.812104166667
2010,1,2,18,2010.0,1.0,2.0,18.0,0.937479166667
2010,1,2,19,2010.0,1.0,2.0,19.0,0.914166666667
2010,1,2,20,2010.0,1.0,2.0,20.0,0.79159375
2010,1,2,21,2010.0,1.0,2.0,21.0,0.767
2010,1,2,22,2010.0,1.0,2.0,22.0,0.73846875
2010,1,2,23,2010.0,1.0,2.0,23.0,0.691833333333
2010,1,3,0,2010.0,1.0,3.0,0.0,0.644239583333
2010,1,3,1,2010.0,1.0,3.0,1.0,0.653125
2010,1,3,2,2010.0,1.0,3.0,2.0,0.5139375
2010,1,3,3,2010.0,1.0,3.0,3.0,0.401375
2010,1,3,4,2010.0,1.0,3.0,4.0,0.370520833333
2010,1,3,5,2010.0,1.0,3.0,5.0,0.32221875
2010,1,3,6,2010.0,1.0,3.0,6.0,0.32175
2010,1,3,7,2010.0,1.0,3.0,7.0,0.394552083333
2010,1,3,8,2010.0,1.0,3.0,8.0,0.344385416667
2010,1,3,9,2010.0,1.0,3.0,9.0,0.25440625
2010,1,3,10,2010.0,1.0,3.0,10.0,0.232645833333
2010,1,3,11,2010.0,1.0,3.0,11.0,0.240020833333
2010,1,3,12,2010.0,1.0,3.0,12.0,0.21215625
2010,1,3,13,2010.0,1.0,3.0,13.0,0.211979166667
2010,1,3,14,2010.0,1.0,3.0,14.0,0.302572916667
2010,1,3,15,2010.0,1.0,3.0,15.0,0.39778125
2010,1,3,16,2010.0,1.0,3.0,16.0,0.57890625
2010,1,3,17,2010.0,1.0,3.0,17.0,0.821614583333
2010,1,3,18,2010.0,1.0,3.0,18.0,0.822875
2010,1,3,19,2010.0,1.0,3.0,19.0,0.909385416667
2010,1,3,20,2010.0,1.0,3.0,20.0,0.901604166667
2010,1,3,21,2010.0,1.0,3.0,21.0,0.854072916667
2010,1,3,22,2010.0,1.0,3.0,22.0,0.815958333333
2010,1,3,23,2010.0,1.0,3.0,23.0,0.779072916667
2010,1,4,0,2010.0,1.0,4.0,0.0,0.736625
2010,1,4,1,2010.0,1.0,4.0,1.0,0.664239583333
2010,1,4,2,2010.0,1.0,4.0,2.0,0.682572916667
2010,1,4,3,2010.0,1.0,4.0,3.0,0.714625
2010,1,4,4,2010.0,1.0,4.0,4.0,0.708666666667
2010,1,4,5,2010.0,1.0,4.0,5.0,0.655458333333
2010,1,4,6,2010.0,1.0,4.0,6.0,0.681364583333
2010,1,4,7,2010.0,1.0,4.0,7.0,0.60084375
2010,1,4,8,2010.0,1.0,4.0,8.0,0.361302083333
2010,1,4,9,2010.0,1.0,4.0,9.0,0.290645833333
2010,1,4,10,2010.0,1.0,4.0,10.0,0.307010416667
2010,1,4,11,2010.0,1.0,4.0,11.0,0.3348125
2010,1,4,12,2010.0,1.0,4.0,12.0,0.315333333333
2010,1,4,13,2010.0,1.0,4.0,13.0,0.308229166667
2010,1,4,14,2010.0,1.0,4.0,14.0,0.3455
2010,1,4,15,2010.0,1.0,4.0,15.0,0.41540625
2010,1,4,16,2010.0,1.0,4.0,16.0,0.434510416667
2010,1,4,17,2010.0,1.0,4.0,17.0,0.7598125
2010,1,4,18,2010.0,1.0,4.0,18.0,0.972802083333
2010,1,4,19,2010.0,1.0,4.0,19.0,0.97309375
2010,1,4,20,2010.0,1.0,4.0,20.0,0.842208333333
2010,1,4,21,2010.0,1.0,4.0,21.0,0.853604166667
2010,1,4,22,2010.0,1.0,4.0,22.0,0.743125
2010,1,4,23,2010.0,1.0,4.0,23.0,0.716385416667
2010,1,5,0,2010.0,1.0,5.0,0.0,0.537541666667
2010,1,5,1,2010.0,1.0,5.0,1.0,0.655083333333
2010,1,5,2,2010.0,1.0,5.0,2.0,0.714958333333
2010,1,5,3,2010.0,1.0,5.0,3.0,0.63359375
2010,1,5,4,2010.0,1.0,5.0,4.0,0.558895833333
2010,1,5,5,2010.0,1.0,5.0,5.0,0.529552083333
2010,1,5,6,2010.0,1.0,5.0,6.0,0.500458333333
2010,1,5,7,2010.0,1.0,5.0,7.0,0.460989583333
2010,1,5,8,2010.0,1.0,5.0,8.0,0.222354166667
2010,1,5,9,2010.0,1.0,5.0,9.0,0.230510416667
2010,1,5,10,2010.0,1.0,5.0,10.0,0.21734375
2010,1,5,11,2010.0,1.0,5.0,11.0,0.235854166667
2010,1,5,12,2010.0,1.0,5.0,12.0,0.2473125
2010,1,5,13,2010.0,1.0,5.0,13.0,0.29228125
2010,1,5,14,2010.0,1.0,5.0,14.0,0.26528125
2010,1,5,15,2010.0,1.0,5.0,15.0,0.250645833333
2010,1,5,16,2010.0,1.0,5.0,16.0,0.327666666667
2010,1,5,17,2010.0,1.0,5.0,17.0,0.558416666667
2010,1,5,18,2010.0,1.0,5.0,18.0,0.732270833333
2010,1,5,19,2010.0,1.0,5.0,19.0,0.807427083333
2010,1,5,20,2010.0,1.0,5.0,20.0,0.909645833333
2010,1,5,21,2010.0,1.0,5.0,21.0,0.953520833333
2010,1,5,22,2010.0,1.0,5.0,22.0,0.953760416667
2010,1,5,23,2010.0,1.0,5.0,23.0,0.960864583333
2010,1,6,0,2010.0,1.0,6.0,0.0,0.975958333333
2010,1,6,1,2010.0,1.0,6.0,1.0,0.9538125
2010,1,6,2,2010.0,1.0,6.0,2.0,0.89815625
2010,1,6,3,2010.0,1.0,6.0,3.0,0.877375
2010,1,6,4,2010.0,1.0,6.0,4.0,0.77578125
2010,1,6,5,2010.0,1.0,6.0,5.0,0.58103125
2010,1,6,6,2010.0,1.0,6.0,6.0,0.420427083333
2010,1,6,7,2010.0,1.0,6.0,7.0,0.237125
2010,1,6,8,2010.0,1.0,6.0,8.0,0.0757291666667
2010,1,6,9,2010.0,1.0,6.0,9.0,0.0411770833333
2010,1,6,10,2010.0,1.0,6.0,10.0,0.0226458333333
2010,1,6,11,2010.0,1.0,6.0,11.0,0.0365208333333
2010,1,6,12,2010.0,1.0,6.0,12.0,0.0266354166667
2010,1,6,13,2010.0,1.0,6.0,13.0,0.0291354166667
2010,1,6,14,2010.0,1.0,6.0,14.0,0.0183020833333
2010,1,6,15,2010.0,1.0,6.0,15.0,0.00809375
2010,1,6,16,2010.0,1.0,6.0,16.0,0.0303541666667
2010,1,6,17,2010.0,1.0,6.0,17.0,0.0308958333333
2010,1,6,18,2010.0,1.0,6.0,18.0,0.00754166666667
2010,1,6,19,2010.0,1.0,6.0,19.0,0.00205208333333
2010,1,6,20,2010.0,1.0,6.0,20.0,0.00297916666667
2010,1,6,21,2010.0,1.0,6.0,21.0,0.00278125
2010,1,6,22,2010.0,1.0,6.0,22.0,0.0015
2010,1,6,23,2010.0,1.0,6.0,23.0,0.00390625
2010,1,7,0,2010.0,1.0,7.0,0.0,0.0186041666667
2010,1,7,1,2010.0,1.0,7.0,1.0,0.00892708333333
2010,1,7,2,2010.0,1.0,7.0,2.0,0.00673958333333
2010,1,7,3,2010.0,1.0,7.0,3.0,0.02059375
2010,1,7,4,2010.0,1.0,7.0,4.0,0.025125
2010,1,7,5,2010.0,1.0,7.0,5.0,0.043875
2010,1,7,6,2010.0,1.0,7.0,6.0,0.172864583333
2010,1,7,7,2010.0,1.0,7.0,7.0,0.345614583333
2010,1,7,8,2010.0,1.0,7.0,8.0,0.610875
2010,1,7,9,2010.0,1.0,7.0,9.0,0.715666666667
2010,1,7,10,2010.0,1.0,7.0,10.0,0.367166666667
2010,1,7,11,2010.0,1.0,7.0,11.0,0.730854166667
2010,1,7,12,2010.0,1.0,7.0,12.0,0.0610416666667
2010,1,7,13,2010.0,1.0,7.0,13.0,0.0
2010,1,7,14,2010.0,1.0,7.0,14.0,0.00642708333333
2010,1,7,15,2010.0,1.0,7.0,15.0,0.119625
2010,1,7,16,2010.0,1.0,7.0,16.0,0.72128125
2010,1,7,17,2010.0,1.0,7.0,17.0,0.733520833333
2010,1,7,18,2010.0,1.0,7.0,18.0,0.872895833333
2010,1,7,19,2010.0,1.0,7.0,19.0,0.902989583333
2010,1,7,20,2010.0,1.0,7.0,20.0,0.943072916667
2010,1,7,21,2010.0,1.0,7.0,21.0,0.92696875
2010,1,7,22,2010.0,1.0,7.0,22.0,1.0
2010,1,7,23,2010.0,1.0,7.0,23.0,0.992520833333
2010,1,8,0,2010.0,1.0,8.0,0.0,0.9851875
2010,1,8,1,2010.0,1.0,8.0,1.0,0.969052083333
2010,1,8,2,2010.0,1.0,8.0,2.0,0.793177083333
2010,1,8,3,2010.0,1.0,8.0,3.0,0.854125
2010,1,8,4,2010.0,1.0,8.0,4.0,0.879458333333
2010,1,8,5,2010.0,1.0,8.0,5.0,0.826166666667
2010,1,8,6,2010.0,1.0,8.0,6.0,0.94471875
2010,1,8,7,2010.0,1.0,8.0,7.0,0.9360625
2010,1,8,8,2010.0,1.0,8.0,8.0,0.932520833333
2010,1,8,9,2010.0,1.0,8.0,9.0,0.9451875
2010,1,8,10,2010.0,1.0,8.0,10.0,0.93146875
2010,1,8,11,2010.0,1.0,8.0,11.0,0.92215625
2010,1,8,12,2010.0,1.0,8.0,12.0,0.914614583333
2010,1,8,13,2010.0,1.0,8.0,13.0,0.898395833333
2010,1,8,14,2010.0,1.0,8.0,14.0,0.8746875
2010,1,8,15,2010.0,1.0,8.0,15.0,0.875875
2010,1,8,16,2010.0,1.0,8.0,16.0,0.85825
2010,1,8,17,2010.0,1.0,8.0,17.0,0.797291666667
2010,1,8,18,2010.0,1.0,8.0,18.0,0.617895833333
2010,1,8,19,2010.0,1.0,8.0,19.0,0.530604166667
2010,1,8,20,2010.0,1.0,8.0,20.0,0.57465625
2010,1,8,21,2010.0,1.0,8.0,21.0,0.69559375
2010,1,8,22,2010.0,1.0,8.0,22.0,0.88525
2010,1,8,23,2010.0,1.0,8.0,23.0,0.919270833333
2010,1,9,0,2010.0,1.0,9.0,0.0,0.77778125
2010,1,9,1,2010.0,1.0,9.0,1.0,0.776552083333
2010,1,9,2,2010.0,1.0,9.0,2.0,0.720572916667
2010,1,9,3,2010.0,1.0,9.0,3.0,0.764229166667
2010,1,9,4,2010.0,1.0,9.0,4.0,0.785916666667
2010,1,9,5,2010.0,1.0,9.0,5.0,0.81390625
2010,1,9,6,2010.0,1.0,9.0,6.0,0.822010416667
2010,1,9,7,2010.0,1.0,9.0,7.0,0.739510416667
2010,1,9,8,2010.0,1.0,9.0,8.0,0.754635416667
2010,1,9,9,2010.0,1.0,9.0,9.0,0.759302083333
2010,1,9,10,2010.0,1.0,9.0,10.0,0.733927083333
2010,1,9,11,2010.0,1.0,9.0,11.0,0.695458333333
2010,1,9,12,2010.0,1.0,9.0,12.0,0.725104166667
2010,1,9,13,2010.0,1.0,9.0,13.0,0.750625
2010,1,9,14,2010.0,1.0,9.0,14.0,0.735583333333
2010,1,9,15,2010.0,1.0,9.0,15.0,0.77290625
2010,1,9,16,2010.0,1.0,9.0,16.0,0.762604166667
2010,1,9,17,2010.0,1.0,9.0,17.0,0.982125
2010,1,9,18,2010.0,1.0,9.0,18.0,0.987625
2010,1,9,19,2010.0,1.0,9.0,19.0,0.9353125
2010,1,9,20,2010.0,1.0,9.0,20.0,0.974333333333
2010,1,9,21,2010.0,1.0,9.0,21.0,0.977354166667
2010,1,9,22,2010.0,1.0,9.0,22.0,0.983197916667
2010,1,9,23,2010.0,1.0,9.0,23.0,0.969770833333
