hr_num,Year,Month,Day,Hour,availability
1,2010,1,1,0,0.721114583333
2,2010,1,1,1,0.720489583333
3,2010,1,1,2,0.866364583333
4,2010,1,1,3,0.977458333333
5,2010,1,1,4,0.910354166667
6,2010,1,1,5,0.756875
7,2010,1,1,6,0.925114583333
8,2010,1,1,7,0.949052083333
9,2010,1,1,8,0.925895833333
10,2010,1,1,9,0.910739583333
11,2010,1,1,10,0.90778125
12,2010,1,1,11,0.9119375
13,2010,1,1,12,0.925364583333
14,2010,1,1,13,0.923458333333
15,2010,1,1,14,0.92059375
16,2010,1,1,15,0.8550625
17,2010,1,1,16,0.73653125
18,2010,1,1,17,0.7599375
19,2010,1,1,18,0.84775
20,2010,1,1,19,0.976916666667
21,2010,1,1,20,0.993833333333
22,2010,1,1,21,0.962833333333
23,2010,1,1,22,0.939135416667
24,2010,1,1,23,0.952958333333
25,2010,1,2,0,0.944989583333
26,2010,1,2,1,0.947677083333
27,2010,1,2,2,0.943520833333
28,2010,1,2,3,0.906416666667
29,2010,1,2,4,0.8696875
30,2010,1,2,5,0.867166666667
31,2010,1,2,6,0.82090625
32,2010,1,2,7,0.7371875
33,2010,1,2,8,0.475333333333
34,2010,1,2,9,0.349385416667
35,2010,1,2,10,0.35575
36,2010,1,2,11,0.453302083333
37,2010,1,2,12,0.5763125
38,2010,1,2,13,0.46953125
39,2010,1,2,14,0.367666666667
40,2010,1,2,15,0.394802083333
41,2010,1,2,16,0.405197916667
42,2010,1,2,17,0.812104166667
43,2010,1,2,18,0.937479166667
44,2010,1,2,19,0.914166666667
45,2010,1,2,20,0.79159375
46,2010,1,2,21,0.767
47,2010,1,2,22,0.73846875
48,2010,1,2,23,0.691833333333
49,2010,1,3,0,0.644239583333
50,2010,1,3,1,0.653125
51,2010,1,3,2,0.5139375
52,2010,1,3,3,0.401375
53,2010,1,3,4,0.370520833333
54,2010,1,3,5,0.32221875
55,2010,1,3,6,0.32175
56,2010,1,3,7,0.394552083333
57,2010,1,3,8,0.344385416667
58,2010,1,3,9,0.25440625
59,2010,1,3,10,0.232645833333
60,2010,1,3,11,0.240020833333
61,2010,1,3,12,0.21215625
62,2010,1,3,13,0.211979166667
63,2010,1,3,14,0.302572916667
64,2010,1,3,15,0.39778125
65,2010,1,3,16,0.57890625
66,2010,1,3,17,0.821614583333
67,2010,1,3,18,0.822875
68,2010,1,3,19,0.909385416667
69,2010,1,3,20,0.901604166667
70,2010,1,3,21,0.854072916667
71,2010,1,3,22,0.815958333333
72,2010,1,3,23,0.779072916667
73,2010,1,4,0,0.736625
74,2010,1,4,1,0.664239583333
75,2010,1,4,2,0.682572916667
76,2010,1,4,3,0.714625
77,2010,1,4,4,0.708666666667
78,2010,1,4,5,0.655458333333
79,2010,1,4,6,0.681364583333
80,2010,1,4,7,0.60084375
81,2010,1,4,8,0.361302083333
82,2010,1,4,9,0.290645833333
83,2010,1,4,10,0.307010416667
84,2010,1,4,11,0.3348125
85,2010,1,4,12,0.315333333333
86,2010,1,4,13,0.308229166667
87,2010,1,4,14,0.3455
88,2010,1,4,15,0.41540625
89,2010,1,4,16,0.434510416667
90,2010,1,4,17,0.7598125
91,2010,1,4,18,0.972802083333
92,2010,1,4,19,0.97309375
93,2010,1,4,20,0.842208333333
94,2010,1,4,21,0.853604166667
95,2010,1,4,22,0.743125
96,2010,1,4,23,0.716385416667
97,2010,1,5,0,0.537541666667
98,2010,1,5,1,0.655083333333
99,2010,1,5,2,0.714958333333
100,2010,1,5,3,0.63359375
101,2010,1,5,4,0.558895833333
102,2010,1,5,5,0.529552083333
103,2010,1,5,6,0.500458333333
104,2010,1,5,7,0.460989583333
105,2010,1,5,8,0.222354166667
106,2010,1,5,9,0.230510416667
107,2010,1,5,10,0.21734375
108,2010,1,5,11,0.235854166667
109,2010,1,5,12,0.2473125
